"id","year","month","casenumber","disease","item","datestart","dateend","districtcode","unit","value","annotation","sourceId"
"75","2018","8","TKH-2018-000080","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-02",NULL,"614","number","8",,"39"
"76","2018","9","TKH-2018-000080","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-02",NULL,"614","number","8",,"8"
"77","2018","9","TKH-2018-000080","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-02",NULL,"614","number","8",,"8"
"78","2018","10","TKH-2018-000080","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-02",NULL,"614","number","8",,"40"
"79","2018","11","TKH-2018-000080","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-02",NULL,"614","number","8",,"41"
"80","2018","12","TKH-2018-000080","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-02",NULL,"614","number","8",,"42"
"81","2019","1","TKH-2018-000080","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-02",NULL,"614","number","8",,"30"
"82","2019","3","TKH-2018-000080","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-02",NULL,"614","number","8",,"43"
"83","2019","4","TKH-2018-000080","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-02",NULL,"614","number","8",,"44"
"84","2019","5","TKH-2018-000080","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-02",NULL,"614","number","8",,"28"
"85","2019","6","TKH-2018-000080","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-02","2019-06-26","614","number","8",,"31"
"86","2019","9","TKH-2019-000209","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-07-01","2019-09-30","706","number","0",,"2"
"87","2019","9","TKH-2019-000233","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-07-01","2019-09-30","706","number","0",,"2"
"88","2015","4","TKH-2014-000465","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2014-09-20","2015-05-13","316","number","0",,"45"
"89","2015","5","TKH-2014-000465","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2014-09-20","2015-05-13","316","number","0",,"46"
"90","2015","7","TKH-2015-000692","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-04-28","2015-07-14","621","number","14",,"3"
"91","2015","9","TKH-2015-000913","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-08-18",NULL,"616","number","0",,"5"
"92","2017","9","TKH-2017-000388","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-08-03",NULL,"802","number","4",,"24"
"93","2017","10","TKH-2017-000388","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-08-03",NULL,"802","number","4",,"9"
"94","2017","11","TKH-2017-000388","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-08-03",NULL,"802","number","4",,"10"
"95","2017","12","TKH-2017-000388","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-08-03",NULL,"802","number","4",,"11"
"96","2018","1","TKH-2017-000388","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-08-03",NULL,"802","number","4",,"12"
"97","2018","2","TKH-2017-000388","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-08-03",NULL,"802","number","4",,"13"
"98","2018","3","TKH-2017-000388","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-08-03",NULL,"802","number","4",,"14"
"99","2018","4","TKH-2017-000388","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-08-03",NULL,"802","number","4",,"15"
