"id","disease","municipalitycode","wgs84e","wgs84n","bedatestart","begzstart","bedateend","begzend","vodatestart","vogzstart","vodateend","vogzend","annotation"
"182","American foulbrood of honey bees","62378","15.99","46.98","2008-07-14","not available","2008-10-09","BHFB-18.2-B32/2008-14","2008-07-14","BHFB-18.2-B32/2008-7","2008-10-09","not available",NULL
"183","American foulbrood of honey bees","62386","15.88","46.98","2008-07-03","not available","2008-10-09","BHFB-18.2-B32/2008-13","2008-07-03","BHFB-18.2-B32/2008-3","2008-10-09","not available",NULL
"184","American foulbrood of honey bees","62386","15.93","46.97","2008-08-13","not available","2008-10-09","BHFB-18.2-B32/2008-9","2008-08-13","BHFB-18.2-B35/2008-3","2008-10-09","not available",NULL
"185","American foulbrood of honey bees","62386","15.89","46.98","2008-08-05","not available","2008-10-09","BHFB-18.2-B32/2008-6","2008-08-05","BHFB-18.2-B34/2008-3","2008-10-09","not available",NULL
"186","American foulbrood of honey bees","62386","15.88","46.99","2008-08-05","not available","2008-10-09","BHFB-18.2-B32/2008-5","2008-08-05","BHFB-18.2-B33/2008-3","2008-10-09","not available",NULL
"187","American foulbrood of honey bees","62379","15.91","46.96","2008-08-13","BHFB-18.2B35/2008-6","2008-10-09","not available",NULL,NULL,NULL,NULL,NULL
"188","American foulbrood of honey bees","60624","15.47","46.97","2007-05-21","18 B 4/2007","2007-08-20","18 B 4/2007","2007-05-21","18 B 4/2007","2007-08-20","not available",NULL
"189","American foulbrood of honey bees","61019","15.48","46.79","2007-11-12","18.2.2.24-2007","2008-04-07","18.2.2.24-2008","2007-12-17","18.2.2.24-2007","2008-04-07","not available",NULL
"190","American foulbrood of honey bees","61049","15.57","46.74","2007-03-23","18.2.2.24-2007","2007-05-11","18.2.2.24-2007",NULL,NULL,NULL,NULL,NULL
"191","American foulbrood of honey bees","61206","14.33","47.58","2007-05-31","18.2-27/99","2007-09-24","18.2-27/99",NULL,NULL,NULL,NULL,NULL
"192","American foulbrood of honey bees","61257","14.12","47.48","2007-09-07","18.2-27/99","2008-07-09","18.2-27/99",NULL,NULL,NULL,NULL,NULL
"193","American foulbrood of honey bees","61259","14.25","47.57","2007-07-09","18.2-27/99","2007-09-24","18.2-27/99",NULL,NULL,NULL,NULL,NULL
"194","American foulbrood of honey bees","61262","13.98","47.45","2007-05-15","8.2-4/2007","2008-01-14","8.2-4/2007",NULL,NULL,NULL,NULL,NULL
"195","American foulbrood of honey bees","61438","14.20","47.11","2007-05-25","8.2-16/2007","2007-09-18","8.2-16/2007 ","2007-06-12","8.2-16/2007","2007-09-18","8.2-16/2007",NULL
"196","American foulbrood of honey bees","61438","14.20","47.09","2007-06-12","8.2-16/2007","2007-09-18","8.2-16/2007","2007-06-12","8.2-16/2007","2007-09-18","8.2-16/2007",NULL
"197","American foulbrood of honey bees","61438","14.20","47.10","2007-06-12","8.2-16/2007","2007-09-18","8.2-16/2007","2007-06-12","8.2-16/2007","2007-09-18","8.2-16/2007",NULL
"198","American foulbrood of honey bees","61438","14.21","47.07","2007-06-12","8.2-16/2007","2007-09-18","8.2-16/2007","2007-06-12","8.2-16/2007","2007-09-18","8.2-16/2007",NULL
"199","American foulbrood of honey bees","61438","14.17","47.11","2007-06-12","8.2-16/2007","2007-09-18","8.2-16/2007","2007-06-12","8.2-16/2007","2007-09-18","8.2-16/2007",NULL
"200","American foulbrood of honey bees","61438","14.17","47.12","2007-07-30","8.2-16/2007","2007-09-18","8.2-16/2007","2007-07-30","8.2-16/2007","2007-09-18","8.2-16/2007",NULL
"201","American foulbrood of honey bees","61438","14.22","47.12","2007-06-12","8.2-16/2007","2007-09-18","8.2-16/2007","2007-06-12","8.2-16/2007","2007-09-18","8.2-16/2007",NULL
"202","American foulbrood of honey bees","61745","15.58","47.33","2007-08-08","8-432/2007","2008-06-05","8-432/2007","2007-08-08","8-432/2007","2007-08-08","not available",NULL
"203","American foulbrood of honey bees","61745","15.60","47.34","2007-08-08","8-434/2007","2008-06-05","8-434/2007","2007-08-08","8-434/2007","2008-06-05","not available",NULL
"204","American foulbrood of honey bees","61745","15.57","47.33","2007-08-01","8-409/2007","2008-06-05","8-409/2007","2007-08-01","8-409/2007","2008-06-05","not available",NULL
"205","American foulbrood of honey bees","61745","15.58","47.33","2007-08-08","8-433/2007","2008-06-05","8-433/2007","2007-08-08","8-433/2007","2008-06-05","not available",NULL
"206","American foulbrood of honey bees","61745","15.57","47.32","2007-08-08","8-431/2007","2008-06-05","8-431/2007","2007-08-08","8-431/2007","2008-06-05","not available",NULL
"207","American foulbrood of honey bees","61750","15.73","47.41","2007-10-08","8-933/2007","2008-06-05","8-933/2007","2007-10-08","8-933/2007","2008-06-05","not available",NULL
"208","American foulbrood of honey bees","62115","15.56","47.56","2007-10-23","18.2-19/2007","2008-04-28","18.2-19/2007","2007-10-23","18.2-19/2007","2008-04-28","18.2-19/2007",NULL
"209","American foulbrood of honey bees","62145","15.51","47.54","2007-10-23","18.2-20/2007","2008-04-28","18.2-20/2007","2007-10-23","18.2-20/2007","2008-04-28","18.2-20/2007",NULL
"210","American foulbrood of honey bees","62145","15.49","47.54","2007-08-28","18.2-15/2007","2007-10-23","18.2-15/2007",NULL,NULL,NULL,NULL,NULL
"211","American foulbrood of honey bees","62132","15.51","47.47","2007-05-23","18.2-12/2007","2007-10-17","18.2-12/2007","2007-05-23","18.2-12/2007","2007-10-17","18.2-12/2007",NULL
"212","American foulbrood of honey bees","62132","15.50","47.47","2007-05-23","18.2-11/2007","2007-10-17","18.2-11/2007","2007-05-23","18.2-11/2007","2007-10-17","18.2-11/2007",NULL
"213","American foulbrood of honey bees","61257","14.12","47.38","2006-10-10","18.2-27/99","2007-06-08","18.2-27/99",NULL,NULL,NULL,NULL,NULL
"214","American foulbrood of honey bees","61262","14.02","47.48","2006-05-22","8.2-22/06","2006-08-29","8.2-22/2006",NULL,NULL,NULL,NULL,NULL
"215","American foulbrood of honey bees","61267","14.06","47.53","2006-07-18","18.2-27/99","2006-09-04","18.2-27/99",NULL,NULL,NULL,NULL,NULL
"216","American foulbrood of honey bees","62141","15.46","47.51","2006-08-08","18.2-18/2006","2006-10-09","18.2-18/2006","2006-08-08","18.2-18/2006","2006-10-09","18.2-18/2006",NULL
"217","American foulbrood of honey bees","62141","15.41","47.52","2006-06-28","18.2-17/06","2006-08-30","18.2-18/2006","2006-06-28","18.2-18/2006","2006-08-30","18.2-18/2006",NULL
"218","American foulbrood of honey bees","62381","15.67","46.92","2006-08-18","not available","2006-10-11","BHFB-18.2-B14/2006-7","2006-08-22","BHFB-18.2-B14/2006-3","2006-10-11","not available",NULL
"219","American foulbrood of honey bees","62381","15.67","46.91","2006-06-07","not available","2006-07-28","BHFB-18.2-B8/2006-6","2006-06-07","18.2 B 8/2006-3","2006-07-28","not available",NULL
"220","American foulbrood of honey bees","62381","15.67","46.91","2006-10-16","not available","2007-05-04","BHFB-18.2-B8/2006-16","2006-10-16","BHFB-18.2-B8/2006-10","2007-05-04","not available",NULL
"221","American foulbrood of honey bees","62380","15.86","46.86","2005-06-07","not available","2005-10-05","18.2 B 25/5-2005","2005-06-16","18.2 B 25/4-2005","2005-10-05","not available",NULL
"222","American foulbrood of honey bees","61262","14.02","47.48","2005-10-19","8.2-3/05","2006-04-25","8.2-3/05",NULL,NULL,NULL,NULL,NULL
"223","American foulbrood of honey bees","61256","14.52","47.50","2005-07-22","18.2-27/99","2005-09-15","18.2-27/99",NULL,NULL,NULL,NULL,NULL
"224","American foulbrood of honey bees","60344","15.18","46.89","2002-07-09","18.2 B1 R8 05-02","2002-09-16","18.2 B1 R8 06-02","2002-08-14","18.2 B1 R8 06-02","2002-09-16","18.2 B1 R8 05-02",NULL
"225","American foulbrood of honey bees","60326","15.34","46.89","2002-07-09","not available","2002-09-16","not available","2002-07-09","18.2 B1 R8 05-02","2002-09-16","18.2 B1 R8 05-02",NULL
"226","American foulbrood of honey bees","60659","15.31","47.18","2003-06-04","18 B 4/2003","2003-09-16","18 B 4/2003",NULL,NULL,NULL,NULL,NULL
"227","American foulbrood of honey bees","60664","15.32","47.11","2003-08-22","18 B 4/2003","2004-04-22","18 B 4/2004",NULL,NULL,NULL,NULL,NULL
"228","American foulbrood of honey bees","60664","15.33","47.11","2003-08-04","18 B 4/2003","2004-04-22","18 B 4/2004",NULL,NULL,NULL,NULL,NULL
"229","American foulbrood of honey bees","60642","15.49","47.18","2003-06-20","18 B4-2003","2003-09-10","18 B4-2003",NULL,NULL,NULL,NULL,NULL
"230","American foulbrood of honey bees","60642","15.49","47.17","2003-08-04","18 B4-2003","2003-09-10","18 B4-2003",NULL,NULL,NULL,NULL,NULL
"231","American foulbrood of honey bees","60663","15.36","47.28","2001-09-17","18 B 4/2001","2002-10-21","18 B 4/2002",NULL,NULL,NULL,NULL,NULL
"232","American foulbrood of honey bees","60663","15.39","47.27","2001-07-16","18 B 4/2001","2002-10-21","18 B 4/2002",NULL,NULL,NULL,NULL,NULL
"233","American foulbrood of honey bees","60663","15.36","47.28","2001-09-17","18 B 4/2001","2002-10-21","18 B 4/2002","2001-09-17","18 B 4/2001","2002-10-21","not available",NULL
"234","American foulbrood of honey bees","60669","15.37","47.02","2002-09-10","18 B4/2002","2003-04-25","18 B4/2003",NULL,NULL,NULL,NULL,NULL
"235","American foulbrood of honey bees","60645","15.44","47.22","2002-07-02","18 B4-2002","2003-05-28","18 B4-2002",NULL,NULL,NULL,NULL,NULL
"236","American foulbrood of honey bees","60645","15.37","47.19","2002-08-16","18 B4/2002","2003-05-08","18 B4/2003",NULL,NULL,NULL,NULL,NULL
"237","American foulbrood of honey bees","60645","15.43","47.21","2002-07-15","18 B4/2002","2003-05-08","18 B4/2003",NULL,NULL,NULL,NULL,NULL
"238","American foulbrood of honey bees","60645","15.42","47.18","2002-08-15","18 B4/2002","2003-05-08","18 B4/2003",NULL,NULL,NULL,NULL,NULL
"239","American foulbrood of honey bees","60645","15.41","47.23","2002-06-11","18 B4/2002","2003-05-08","18 B4/2003",NULL,NULL,NULL,NULL,NULL
"240","American foulbrood of honey bees","60645","15.42","47.26","2001-09-17","18 B 4/2001","2002-08-13","18 B 4/2002","2001-09-17","18 B 4/2001","2002-08-13","not available",NULL
"241","American foulbrood of honey bees","60645","15.37","47.24","2001-07-16","18 B 4/2001","2002-08-13","18 B 4/2002",NULL,NULL,NULL,NULL,NULL
"242","American foulbrood of honey bees","60645","15.36","47.25","2001-09-17","18 B 4/2001","2002-08-13","18 B 4/2002","2001-09-17","18 B 4/2001","2002-08-13","not available",NULL
"243","American foulbrood of honey bees","60646","15.42","47.16","2002-09-11","18 B4/2002","2003-09-08","18 B4/2003",NULL,NULL,NULL,NULL,NULL
"244","American foulbrood of honey bees","60654","15.45","47.15","2003-05-15","18 B4-2003","2003-09-09","18 B4-2003",NULL,NULL,NULL,NULL,NULL
"245","American foulbrood of honey bees","61002","15.40","46.68","2008-04-18","18.2.2.24-2008","2008-05-21","18.2.2.24-2008","2008-04-22","18.2.2.24-2008","2008-05-21","not available",NULL
"246","American foulbrood of honey bees","61030","15.42","46.80","2006-07-14","not available","2006-10-18","18.2.2.24-2006","2006-07-20","18.2.2.24-2006","2006-10-18","not available",NULL
"247","American foulbrood of honey bees","61033","15.45","46.81","2006-07-12","not available","2006-10-18","18.2.2.24-2006","2006-07-20","18.2.2.24-2006","2006-10-18","not available",NULL
"248","American foulbrood of honey bees","61054","15.47","46.66","2003-04-25","18.2.2.24-2003","2003-09-01","18.2.2.24-2003","2003-05-08","18.2.2.24-2003","2003-09-01","not available",NULL
"249","American foulbrood of honey bees","61101","14.86","47.55","2004-07-14","18.2 BI 1-8-2004/3","2004-10-22","18.2 B 18.2 B 8-04/11",NULL,NULL,NULL,NULL,NULL
