"îd","format","reference"
"23","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2017,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Juni} 2017},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGB_AT_Juni2017.pdf?92t341},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = jul,
	year = {2017},
}
"
"24","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2017,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {September} 2017},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGB_AT_September2017.pdf?92t2iz},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = oct,
	year = {2017},
}
"
"25","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2018,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Mai} 2018},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGB_AT_Mai2018.pdf?92t32x},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = jun,
	year = {2018},
}
"
"26","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2015,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Juni} 2015},
	url = {http://localhost/phpmyadmin/index.php?route=/sql&db=euph_000035_references&table=urllegacy&pos=0},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = jul,
	year = {2015},
}
"
"27","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2015,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Oktober} 2015},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGB_AT_Oktober_2015.pdf?92t2tt},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = nov,
	year = {2015},
}
"
"28","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2019,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Mai} 2019},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGBMonatsberichtOesterreichMai2019.pdf?92t32l},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = jun,
	year = {2019},
}
"
"29","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2016,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Oktober} 2016},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGB_AT_Oktober_2016.pdf?92t3o1},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = nov,
	year = {2016},
}
"
"30","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2019,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Januar} 2019},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGBMonatsberichtOesterreichJanuar2019.pdf?92t323},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = feb,
	year = {2019},
}
"
"31","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2019,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Juni} 2019},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGBMonatsberichtOesterreichJuni2019.pdf?92t322},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = jul,
	year = {2019},
}
"
"32","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2019,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Juli} 2019},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGBMonatsberichtOesterreichJuli2019.pdf?92t371},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = aug,
	year = {2019},
}
"
