"id","year","month","casenumber","disease","animalspecies","datestart","dateend","country","nuts","districtcode","postcode","unit","value","annotation","sourceid"
"82","2015","8","TKH-2015-000897","American foulbrood of honey bees","1341976","2015-08-13",NULL,"AUT","AT22","621",NULL,"number","1",NULL,"61"
"83","2015","8","TKH-2015-000901","American foulbrood of honey bees","1341976","2015-08-10","2016-06-16","AUT","AT33","703",NULL,"number","1",NULL,"61"
"84","2015","8","TKH-2015-000906","American foulbrood of honey bees","1341976","2015-08-17","2016-04-13","AUT","AT31","408",NULL,"number","1",NULL,"56"
"85","2015","10","TKH-2015-000909","American foulbrood of honey bees","1341976","2015-10-06",NULL,"AUT","AT22","621",NULL,"number","1",NULL,"61"
"86","2015","8","TKH-2015-000911","American foulbrood of honey bees","1341976","2015-08-28","2016-06-27","AUT","AT33","703",NULL,"number","1",NULL,"61"
"87","2015","8","TKH-2015-000913","American foulbrood of honey bees","1341976","2015-08-18","2016-04-04","AUT","AT22","616",NULL,"number","1",NULL,"56"
"88","2015","10","TKH-2015-000914","American foulbrood of honey bees","1341976","2015-10-06",NULL,"AUT","AT22","621",NULL,"number","1",NULL,"61"
"89","2015","8","TKH-2015-000915","American foulbrood of honey bees","1341976","2015-08-31","2017-05-05","AUT","AT32","504",NULL,"number","1",NULL,"61"
"90","2015","8","TKH-2015-000925","American foulbrood of honey bees","1341976","2015-08-26","2016-05-17","AUT","AT31","404",NULL,"number","1",NULL,"61"
"91","2015","9","TKH-2015-000926","American foulbrood of honey bees","1341976","2015-09-04","2016-07-21","AUT","AT32","504",NULL,"number","1",NULL,"61"
"92","2015","8","TKH-2015-000927","American foulbrood of honey bees","1341976","2015-08-25","2016-08-18","AUT","AT12","315",NULL,"number","1",NULL,"59"
"93","2015","8","TKH-2015-000928","American foulbrood of honey bees","1341976","2015-08-25","2016-08-18","AUT","AT12","315",NULL,"number","1",NULL,"59"
"94","2015","8","TKH-2015-000930","American foulbrood of honey bees","1341976","2015-08-27","2016-04-05","AUT","AT12","315",NULL,"number","1",NULL,"56"
